DOC_DATE_SCALED,DOC_ID_SCALED,AUCTION_ID_SCALED,BID_NAME_SCALED,ITEM_CAT,VENDOR_SCALED,WINNER,QUANTITY_SCALED,PRICE_SCALED
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,6,Juice - 100% Juice - 11.5 oz Cans,, The Masters Distribution Systems Company (Alt ,,"5,000",13.94
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,6,Juice - 100% Juice - 11.5 oz Cans,, Pepsi Beverages Company Mountain Dew Kick Start ,,"6,666",20.24
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,7,"Juice - 100% Fruit/Vegetable Juice, Boxes - 4.23 oz",,Cebev LLC/ Juice Bowl Juice Bowl Swirl ,,272,8.25
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,7,"Juice - 100% Fruit/Vegetable Juice, Boxes - 4.23 oz",," Apple & Eve, LLC (Apple & Eve) Apple & Eve ",,300,7.75
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,7,"Juice - 100% Fruit/Vegetable Juice, Boxes - 4.23 oz",, Jake's Finer Foods (Alt ,,272,10.15
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,7,"Juice - 100% Fruit/Vegetable Juice, Boxes - 4.23 oz",, The Masters Distribution Systems Company Suncup ,,300,10.8
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,8,Juice - 100% Fruit/Vegetable Juice - 6 oz,,"Apple & Eve, LLC (Apple & Eve) Apple & Eve ",,"1,200",7.55
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,8,Juice - 100% Fruit/Vegetable Juice - 6 oz,, ,,"1,200",8.05
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,8,Juice - 100% Fruit/Vegetable Juice - 6 oz,, ,,"1,080",9.65
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,8,Juice - 100% Fruit/Vegetable Juice - 6 oz,, The Masters Distribution Systems Company Suncup ,,"1,080",12
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,9,"Milk - Soymilk, Enriched, Plain - 8 oz",,"Kikkoman Sales USA, Inc. Kikkoman Pearl ",,"6,000",14.43
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,9,"Milk - Soymilk, Enriched, Plain - 8 oz",," The Dannon Company, Inc. (Alt ",,"6,000",11.55
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,9,"Milk - Soymilk, Enriched, Plain - 8 oz",," The Dannon Company, Inc. (Alt ",,"6,000",11.55
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,9,"Milk - Soymilk, Enriched, Plain - 8 oz",, Labatt Food Service Kikkoman Pearl ,,"6,000",18.01
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,9,"Milk - Soymilk, Enriched, Plain - 8 oz",, Jake's Finer Foods (Alt ,,"6,000",21.79
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,9,"Milk - Soymilk, Enriched, Plain - 8 oz",, The Masters Distribution Systems Company Silk ,,"6,000",40.5
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,10,"Tea - Flavored Tea, 12 oz Bottles",,Coca-Cola Refreshments (Alt ,,"5,000",7.92
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,10,"Tea - Flavored Tea, 12 oz Bottles",," c Tea, Fuze Black Tea) Cebev LLC/ Juice Bowl JB's ",,"5,000",10.95
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,11,"Water, Bottled - 8 oz",,The Masters Distribution Systems Company Nestles ,,"8,000",3.49
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,11,"Water, Bottled - 8 oz",, ,,"8,000",8.64
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,12,"Water, Bottled, Spring - 16 oz",,The Masters Distribution Systems Company Nestles Pure Life Water ,,"10,000",4.15
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,12,"Water, Bottled, Spring - 16 oz",, c Dr Pepper Bottling Company of Texas (The American Deja Blue ,,"10,000",5.25
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,12,"Water, Bottled, Spring - 16 oz",, c Bottling Company) Jake's Finer Foods Ozarka ,,"10,000",5.25
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,12,"Water, Bottled, Spring - 16 oz",, Coca-Cola Refreshments (Alt ,,"10,000",5.76
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,12,"Water, Bottled, Spring - 16 oz",," Vistar PFG (Performance Food Group, Inc.) Ozarka ",,"10,000",7.34
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,12,"Water, Bottled, Spring - 16 oz",, Pepsi Beverages Company Aquafina ,,"10,000",8.49
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,13,"Water, Bottled - 20 oz",,Dr Pepper Bottling Company of Texas (The Deja Blue ,,"15,000",4.84
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,13,"Water, Bottled - 20 oz",, American Bottling Company) The Masters Distribution Systems Company Nestle Pure Life ,,"15,000",6.45
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,13,"Water, Bottled - 20 oz",, Pepsi Beverages Company Aquafina ,,"15,000",8.49
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,13,"Water, Bottled - 20 oz",, Coca-Cola Refreshments Dasani Water ,,"15,000",10.08
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",,"ConAgra Foods, Inc. (Alt ",,"18,000",46.5
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",," a b Nardone Bros Baking Co., Inc. Nardone Bros ",,"27,000",37.12
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",," UNO (UNO Restaurants, LLC) UNO Foods Inc. MVPCN",,"18,000",55.68
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",," b Alpha Foods Co., Inc. Alpha Simply Delicious SD",,"24,000",43.6
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",," Tyson Prepared Foods, Inc. Bosco's ",,"21,600",49.02
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",," S.A. Piazza & Associates, LLC Wild Mike's ",,"21,600",52.85
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",," Schwan‘s Food Service, Inc. Tony's ",,"24,000",53.1
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",," Schwan‘s Food Service, Inc. (Alt ",,"24,000",55.26
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",," S.A. Piazza & Associates, LLC (Alt ",,"24,000",59.21
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,1,"Pizza, Cheese, Whole Grain - 16"" Frozen",, Rose and Shore Bella Rose BSTR,,"27,000",55.08
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,2,"Pizza, COMMODITY Cheese, Whole Grain - 16"" Frozen",,"b Nardone Bros Baking Co., Inc. Nardone Bros ",,"27,000",24.15
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,2,"Pizza, COMMODITY Cheese, Whole Grain - 16"" Frozen",," b UNO (UNO Restaurants, LLC) UNO Foods MVPCN",,"18,000",36.48
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,2,"Pizza, COMMODITY Cheese, Whole Grain - 16"" Frozen",," Alpha Foods Co., Inc. Alpha Simply Delicious SD",,"24,000",29.01
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,2,"Pizza, COMMODITY Cheese, Whole Grain - 16"" Frozen",," S.A. Piazza & Associates, LLC Wild Mike's ",,"21,600",36.37
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,2,"Pizza, COMMODITY Cheese, Whole Grain - 16"" Frozen",," Schwan‘s Food Service, Inc. Tony's ",,"24,000",34.87
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,2,"Pizza, COMMODITY Cheese, Whole Grain - 16"" Frozen",," Schwan‘s Food Service, Inc. (Alt ",,"24,000",40.67
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,2,"Pizza, COMMODITY Cheese, Whole Grain - 16"" Frozen",, Rose and Shore Bella Rose BSTR,,"27,000",38.6
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,2,"Pizza, COMMODITY Cheese, Whole Grain - 16"" Frozen",," S.A. Piazza & Associates, LLC (Alt ",,"24,000",44.38
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,3,"Pepperoni, Sliced, Beef or Pork",,John Morrell & Company (Smithfield Packaged Smithfield ,,500,62.5
"ne 20, 2019",zza and Pepperoni for Nutrition Services Annual Contract #19-07-3320,3,"Pepperoni, Sliced, Beef or Pork",," Meats Sales Corp.) Tyson Prepared Foods, Inc. Bonici ",,500,65.75
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,1,"Cone, Chocolate and Vanilla Twist",,"Yumi Ice Cream Co., Inc. Wells Blue Bunny ",,450,28.32
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,1,"Cone, Chocolate and Vanilla Twist",, a Fat Vanilla Fudge Swirl Ice Cream Cone) Southern Ice Cream Hershey's Ice Cream SICC Item ,,900,15.64
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,1,"Cone, Chocolate and Vanilla Twist",, a ,,900,15.64
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,2,"Cone, Cookies and Cream",,"Yumi Ice Cream Co., Inc. Wells Blue Bunny ",,"1,000",28.32
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,2,"Cone, Cookies and Cream",, Fat Cookies 'n Cream Ice Cream Cone) Southern Ice Cream Hershey's Ice Cream SICC ,,"2,000",15.64
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,3,"Ice Cream Bar, Chocolate Fudge - 2.5 oz",,"Yumi Ice Cream Co., Inc. (Alt ",,"1,500",5.28
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,3,"Ice Cream Bar, Chocolate Fudge - 2.5 oz",, a Fudge Bomb Pop Jr) Southern Ice Cream Hershey's Ice Cream SICC ,,"1,000",12.75
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,3,"Ice Cream Bar, Chocolate Fudge - 2.5 oz",," (Chocolate Fudge Bar) Yumi Ice Cream Co., Inc. Wells Blue Bunny ",,"1,500",9.12
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,4,"Ice Cream Bar, Salted Caramel Brownie - 2.75 oz",,"Yumi Ice Cream Co., Inc. (Alt ",,250,56.16
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,4,"Ice Cream Bar, Salted Caramel Brownie - 2.75 oz",," c (Chocolate Éclair Bar) Yumi Ice Cream Co., Inc. (Alt ",,250,56.16
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,4,"Ice Cream Bar, Salted Caramel Brownie - 2.75 oz",, a Southern Ice Cream Hershey's Ice Cream SICC ,,"1,000",14.33
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,5,"Ice Cream Cup, Chocolate, Low-Fat - 3 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,"3,500",15.84
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,5,"Ice Cream Cup, Chocolate, Low-Fat - 3 oz",," (Chocolate Ice Cream Cup) Yumi Ice Cream Co., Inc. (Alt ",,"3,500",18.72
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,6,"Ice Cream Cup, Chocolate Sundae, Low-Fat - 3 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,"1,000",15.84
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,7,"Ice Cream Cup, Strawberry Sundae, Low-Fat - 3 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,"1,000",15.84
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,8,"Ice Cream Cup, Vanilla, Low-Fat - 3 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,"3,500",15.84
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,8,"Ice Cream Cup, Vanilla, Low-Fat - 3 oz",," (Vanilla Cup) Yumi Ice Cream Co., Inc. (Alt ",,"3,500",18.72
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,9,"Ice Cream Sandwich, Brownie Batter - 4 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,"1,000",14.04
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,10,"Ice Cream Sandwich, Mint - 4 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,300,14.04
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,11,"Ice Cream Sandwich, Vanilla - 4 oz",,"Yumi Ice Cream Co., Inc. Wells Blue Bunny ",,450,36.48
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,11,"Ice Cream Sandwich, Vanilla - 4 oz",, c Ice Cream Sandwich) Southern Ice Cream Hershey's Ice Cream-SICC ,,"1,800",14.04
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,12,"Ice Cream Sandwich, Vanilla, Mini - 2.5 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,"7,000",15.84
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,12,"Ice Cream Sandwich, Vanilla, Mini - 2.5 oz",," (Mini Ice Cream Sandwich) Yumi Ice Cream Co., Inc. Wells Blue Bunny ",,"1,750",36.48
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,13,"Orange Bar, Low-Fat - 2.5 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,500,12.75
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,13,"Orange Bar, Low-Fat - 2.5 oz",," (Orange Blossom Bar) Yumi Ice Cream Co., Inc. Wells Blue Bunny ",,750,9.12
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,14,Mango Fruit Bar - 4 oz,,Chloe`s Fruit (Soft Serve Apple) (Alt ,,750,0.36
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,14,Mango Fruit Bar - 4 oz,," d Yumi Ice Cream Co., Inc. (Alt ",,750,13.2
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,14,Mango Fruit Bar - 4 oz,, a Chunky Pineapple) Southern Ice Cream Deconna Ice Cream SICC ,,"1,500",7.8
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,15,Fruit Juice Bar - 2.25 oz,,Southern Ice Cream Hershey's Ice Cream- SICC ,,"5,000",12.56
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,15,Fruit Juice Bar - 2.25 oz,, Item#,,"5,000",8.64
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,16,Fruit Juice Cup - 4 oz,,Southern Ice Cream Hershey's Ice Cream SICC ,,500,38.4
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,17,Strawberry Banana Fruit Bar - 1.55 oz,,"Yumi Ice Cream Co., Inc. (Alt ",,400,7.92
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,17,Strawberry Banana Fruit Bar - 1.55 oz,," c (Strawberry Banana Fruit Bomb Pop Jr) Yumi Ice Cream Co., Inc. (Alt ",,400,7.92
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,17,Strawberry Banana Fruit Bar - 1.55 oz,, a (Strawberry Raspberry Bomb Pop Jr) Southern Ice Cream Jonny Pops-SICC#,,100,45.2
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,18,Strawberry Fruit Bar - 4 oz,,Chloe`s Fruit (Soft Serve Apple) (Alt ,,525,8.64
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,18,Strawberry Fruit Bar - 4 oz,, d Pop) Southern Ice Cream La Brisa Ice Cream SICC ,,484,11.99
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,18,Strawberry Fruit Bar - 4 oz,," (Strawberry Bar) Yumi Ice Cream Co., Inc. Wells Froz Fruit ",,252,13.2
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,18,Strawberry Fruit Bar - 4 oz,, Chunky Strawberry) Southern Ice Cream (Alt ,,"1,050",7.8
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,19,Triple Berry Fruit Bar - 1.55oz,,Southern Ice Cream Jonny Pops SICC ,,100,45.2
"ne 20, 2019",e Cream for Nutrition Services Annual Contract #19-07-3570,20,"Yogurt Cup, Non-Fat, Vanilla - 4 oz",,Southern Ice Cream Hershey's Ice Cream SICC ,,500,10.9
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,1,"20660 - Cottage Cheese, Low Fat - Packed 5 LBS per case",,"Oak Farms Dairy (Southern Foods Group) Field Crest, ",,500,23.16
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,1,"20660 - Cottage Cheese, Low Fat - Packed 5 LBS per case",, a Borden Dairy Company Borden ,,500,6.4
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,2,20700 - Sour Cream - Packed 32 LBS per case,,"Oak Farms Dairy (Southern Foods Group) Field Crest, ",,60,24.6
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,2,20700 - Sour Cream - Packed 32 LBS per case,, a Borden Dairy Company Borden ,,60,38.5
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,3,"20670 - Half and Half, Ultra Pasteurized, Grade A - One Quart",,Borden Dairy Company Borden ,,700,1.8
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,3,"20670 - Half and Half, Ultra Pasteurized, Grade A - One Quart",, Oak Farms Dairy (Southern Foods Group) Dairy Pure ,,700,23.64
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,4,"20680 - Heavy Cream, Ultra Pasteurized, Grade A - One Quart",,Borden Dairy Company Borden ,,500,4.1
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,4,"20680 - Heavy Cream, Ultra Pasteurized, Grade A - One Quart",, Oak Farms Dairy (Southern Foods Group) Schepps ,,500,53.4
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,5,"20506 - Juice, Apple - 4 oz 100% juice in crush pack carton, Packed 75 per case",,Borden Dairy Company Borden ,,"258,215",0.1325
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,5,"20506 - Juice, Apple - 4 oz 100% juice in crush pack carton, Packed 75 per case",, Oak Farms Dairy (Southern Foods Group) Oak Farms ,,"258,215",10.3725
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,6,"20499 - Juice, Orange - 4 oz 100% juice in crush pack carton, Packed 75 per case",,Oak Farms Dairy (Southern Foods Group) Oak Farms ,,"439,953",9.705
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,6,"20499 - Juice, Orange - 4 oz 100% juice in crush pack carton, Packed 75 per case",, a Borden Dairy Company Borden ,,"439,953",0.1325
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,7,"20600 - Milk, Non-Fat, Non-Flavored - 1/2 Gallon Fresh fluid, Grade A pasteurized and Homogenized, Vitamin D fortified, Packed 4 per case",,Oak Farms Dairy (Southern Foods Group) Dairy Pure ,,400,12.42
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,7,"20600 - Milk, Non-Fat, Non-Flavored - 1/2 Gallon Fresh fluid, Grade A pasteurized and Homogenized, Vitamin D fortified, Packed 4 per case",, a Borden Dairy Company Borden ,,400,1.4
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,8,"20590 - Milk, Whole - 1/2 Gallon Whole fresh fluid, Grade A pasteurized and Homogenized, Vitamin D fortified, Packed 4 per case",,Borden Dairy Company Borden ,,400,1.7
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,8,"20590 - Milk, Whole - 1/2 Gallon Whole fresh fluid, Grade A pasteurized and Homogenized, Vitamin D fortified, Packed 4 per case",, Oak Farms Dairy (Southern Foods Group) Dairy Pure ,,400,15.84
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,9,"20630 - Yogurt, Flavored - 4 oz Made from Grade A milk with no more than 2% milk fat, Packed 48 per case",,The Masters Distribution Systems Company Dannon ,,"993,882",12.75
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,9,"20630 - Yogurt, Flavored - 4 oz Made from Grade A milk with no more than 2% milk fat, Packed 48 per case",, a Borden Dairy Company Yoplait ,,"993,882",12.96
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,9,"20630 - Yogurt, Flavored - 4 oz Made from Grade A milk with no more than 2% milk fat, Packed 48 per case",, Oak Farms Dairy (Southern Foods Group) Yoplait strw ,,"993,882",14.21
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,10,"Milk, 1% White - 1/2 Pint Non-flavored milk with 1% milk fat packed in a 1/2 pint crush pack carton FIRM",,Borden Dairy Company Borden ,,"728,681",11.45
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,10,"Milk, 1% White - 1/2 Pint Non-flavored milk with 1% milk fat packed in a 1/2 pint crush pack carton FIRM",, Oak Farms Dairy (Southern Foods Group) Dairy Pure ,,"728,681",12.245
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,11,"20550 - Milk, 1% White - 1/2 Pint Non-flavored milk with 1% milk fat packed in a 1/2 pint crush pack carton ESCALATING",,Borden Dairy Company Borden ,,"728,681",10.95
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,11,"20550 - Milk, 1% White - 1/2 Pint Non-flavored milk with 1% milk fat packed in a 1/2 pint crush pack carton ESCALATING",, Oak Farms Dairy (Southern Foods Group) Dairy Pure ,,"728,681",11.735
"ne 20, 2019",lk and Juice for Nutrition Services Annual Contract #19-07-3580,12,"Milk, Non-Fat Chocolate - 1/2 Pint Chocolate flavored milk with non-milk fat packed in a 1/2 pint crush pack carton FIRM",,Borden Dairy Company Borden ,,"193,317",11.45
