Sales Code,Item No.,Mfg. Item No.,Brand,Description,Pack Size,Selling Price,Fee for Service,Category,Starting Date,Ending Date,Bid No.,Bid Line No.,Velocity,Price per Serving
COOP181,101766,6TT200W,BELL TASTY,NADA TACO TURKEY IW,60/5OZ,61.52,0.00,POCKETS,07/01/23,06/30/24,09-22-23-FN,451,A,1.025
COOP181,101770,6BTP375W,BELL TASTY,NADA PIZZA TURKEY IW,60/4OZ,54.95,0.00,POCKETS,07/01/23,06/30/24,09-22-23-FN,449,C,0.916
COOP181,101934,R2PX25QCO/575032,PRODUCERS RICE,RICE BROWN PARBOILED WG,25LB,26.06,0.00,RICE,07/01/23,06/30/24,09-22-23-FN,798,B,0.108
COOP181,102184,SB-1355,SHANNONS,WHOLE GRAIN DINNER ROLL IW,120/1OZ,38.78,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,836,A,0.323
COOP181,102204,SB-800,SHANNONS,4.5 MINI HOAGIE ROLL SLD WW,144/1.8OZ,46.38,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,831,C,0.322
COOP181,102234,10071179522768,SIMPLOT,SOYBEAN SHELLED EDAMAME,6/2.5LB,45.36,0.00,FRZN VEG,07/01/23,06/30/24,09-22-23-FN,838,C,0.567
COOP181,102242,HWB5172,SKY BLUE FOODS,51% HONEY WHEAT BRKFST BAR IW,72/2.8OZ,44.17,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,860,B,0.613
COOP181,102244,WWB5160,SKY BLUE FOODS,51% WW BREAKFAST BUN IW,60/2.6OZ,37.85,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,861,A,0.631
COOP181,102365,6070,SUPER BAKERY,BUN BAKED CINNAMON WG IW,72/2.9OZ,42.33,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,883,A,0.588
COOP181,102556,17401,TONY ROBERTS,BAGELS BLUEBERRY SLICED WG,54/4OZ,26.06,0.00,BAGELS,07/01/23,06/30/24,09-22-23-FN,897,D,0.483
COOP181,102558,19232,TONY ROBERTS,BAGELS SLICED WHEAT WG WW IW,72/2.24OZ,31.50,0.00,BAGELS,07/01/23,06/30/24,09-22-23-FN,904,A,0.438
COOP181,102742,2126,WAWONA,MIXED FRUIT TROPICAL CAL BLEND,2/5LB,25.01,0.00,FRZN FRUIT,07/01/23,06/30/24,09-22-23-FN,920,D,0.236
100145,102744,4453,WAWONA,4 BERRY BLEND IQF,2/5LB,36.82,0.00,FRZN FRUIT,08/15/23,06/30/24,,,C,0.695
COOP181,102813,2009,COUNTRY PURE FOODS,SIDEKICK BLUE RASBERRY LEMON,84/4.4OZ,35.59,0.00,FRZN SNCKS,07/01/23,06/30/24,09-22-23-FN,502,C,0.424
COOP181,110671,381631/97762,MORNINGSTAR (KELLOGGS),NUGGETS VEGGIE CHIKN CN VEGAN,212/3OZ,49.35,0.00,VEGETRN,07/01/23,06/30/24,09-22-23-FN,745,B,0.233
COOP181,110740,F2018,GOLD STAR FOODS,3 51% HAMBURGER BUNS WWW,4/24CT,22.33,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,617,D,0.233
COOP181,112948,F4217,GOLD STAR FOODS,6 WHEAT HINGE FRENCH ROLLS,108CT,28.97,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,621,C,0.268
COOP181,112952,F2176,GOLD STAR FOODS,4 51% HAMBURGER BUNS WWW,144CT,31.95,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,625,A,0.222
COOP181,112960,F2656,GOLD STAR FOODS,6 BUNS WHEAT HOT DOG WG,108CT,19.23,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,616,C,0.178
COOP181,112963,F342,GOLD STAR FOODS,51% WWW ARTISAN DINNER ROLLS,144/2OZ,28.40,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,622,C,0.197
COOP181,112999,127852,PILLSBURY,FRUDEL STRUDEL APPLE IW,72/2.29OZ,42.62,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,790,A,0.592
COOP181,113031,19231,TONY ROBERTS,BAGEL WHITE W/WHEAT SL BULK WG,72/2.24OZ,24.98,0.00,BAGELS,07/01/23,06/30/24,09-22-23-FN,902,B,0.347
COOP181,113034,360,DAVES,CRUMB SQUARE WG IW,28/3.6OZ,24.67,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,520,B,0.881
COOP181,113050,32000,SUNCUP,100% APPLE CHERRY JUICE,70/4OZ,13.47,0.00,JUICE,07/01/23,06/30/24,,,B,0.192
COOP181,113088,F4216,GOLD STAR FOODS,4 51% SLICED FRENCH ROLLS WWW,108/2OZ,25.43,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,623,C,0.235
COOP181,113092,35473,ROSATI,CHILLIN BAT ICE ORANGE CUPS,90/4.4OZ,34.80,0.00,FRZN SNCKS,07/01/23,06/30/24,09-22-23-FN,825,D,0.387
COOP181,113198,189664530,PEAK,PARBOILED RICE,1/25LB,19.30,0.00,RICE,07/01/23,06/30/24,09-22-23-FN,775,B,0.077
COOP181,113205,70247810960,FARMLAND,6 8/1 HOT DOG ALL BEEF,2/5LB,41.76,0.00,HOT DOGS,07/01/23,06/30/24,09-22-23-FN,565,C,0.522
COOP181,113222,01197,FATHERS TABLE,BAR CHERRY APPLE CRUNCH WG IW,120/2.25OZ,55.40,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,580,W,0.462
COOP004,113232,40401,J & J SNACK FOODS,BENEFIT BRKFST BAR OAT/CHOC IW,48/2.5OZ,25.33,0.00,BREAKFAST,07/01/23,06/30/24,RFP 22-23-04 SNACK FOODS & BEV,5,A,0.528
COOP181,113233,40400,J & J SNACK FOODS,BENEFIT BRFST BAR OAT/RSN IW,48/2.5OZ,24.98,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,643,C,0.52
COOP004,113234,40403,J & J SNACK FOODS,BENEFIT BRFST BAR APP/CINN IW,48/2.5OZ,26.03,0.00,BREAKFAST,07/01/23,06/30/24,RFP 22-23-04 SNACK FOODS & BEV,6,C,0.542
COOP004,113235,40402,J & J SNACK FOODS,BENEFIT BRFST BAR BAN/CHOC IW,48/2.5OZ,25.33,0.00,BREAKFAST,07/01/23,06/30/24,RFP 22-23-04 SNACK FOODS & BEV,2,A,0.528
COOP181,113243,6285,BRIDGFORD,HONEY WHEAT BISCUIT,100/2.25OZ,36.78,0.00,FRZN BREAD,09/30/23,06/30/24,,,C,0.368
COOP181,113253,49938/526241,MORNINGSTAR (KELLOGGS),SPICY BLACK BEAN VEGGIE BURGER,12/4/2.9OZ,53.81,0.00,VEGETRN,07/01/23,06/30/24,09-22-23-FN,746,W,1.121
COOP181,113285,69461,MINH,WHOLE GRAIN CHICKEN EGG ROLL,60/3OZ,45.25,0.00,ASIAN,07/01/23,06/30/24,09-22-23-FN,737,D,0.754
COOP181,113292,61843/837696,FARMER JOHN,LOUISIANA HOT LINKS,3LB,16.48,0.00,SAUSAGE,07/01/23,06/30/24,09-22-23-FN,562,C,0.275
COOP181,113293,2014,COUNTRY PURE FOODS,SIDEKICK KIWI STRAWBERRY,84/4.4OZ,35.59,0.00,FRZN SNCKS,07/01/23,06/30/24,09-22-23-FN,501,C,0.424
COOP181,113361,33686,PILLSBURY,ROLLS MINI CINNIS CINNMN WG IW,72/2.29OZ,42.62,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,792,A,0.592
COOP181,113419,WG825,DAVES,MUFFIN CHOC CHIP WG IW,60/3.15OZ,41.82,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,518,A,0.697
COOP181,113420,WG828,DAVES,MUFFIN BANANA WG IW,60/3.15OZ,41.82,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,516,B,0.697
COOP181,113421,WG829,DAVES,MUFFIN BLUEBERRY WG IW,60/3.15OZ,41.82,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,517,A,0.697
COOP181,113678,CTB43W,MICHAEL B'S BESTWAY,TAQUITOS CHICKEN WG IW,50/4.4OZ,70.36,0.00,HISPANIC,07/01/23,06/30/24,09-22-23-FN,730,B,1.407
COOP181,113682,WGPMP192-1GB,FAT CAT BAKERY,DOUGH SCONE PUMPKIN SPICE WG,192/1.75OZ,62.01,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,570,D,0.323
COOP181,113685,449,BAKE CRAFTERS,TOAST FRENCH STICKS WG IW,88/3OZ,68.16,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,442,A,0.775
COOP181,113754,49979,PILLSBURY,CRESCENT FILLED CHOCO IW,72/2.29OZ,42.62,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,787,C,0.592
COOP181,113756,2000,LUPITAS,LOAF PINEAPPLE IW,96/2.25OZ,58.36,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,698,W,0.608
COOP181,113948,352/622606,AMY'S,BURRITO BEAN AND RICE GF,12/5.5OZ,41.91,0.00,HISPANIC,07/01/23,06/30/24,09-22-23-FN,410,D,3.493
COOP181,113950,1263,BAKE CRAFTERS,ROLL CINNAMON WG IW,72/3.5OZ,68.00,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,426,C,0.944
COOP181,133605,37308,PILLSBURY,TOAST FRENCH MINI TRPLE BRY IW,72/2.64OZ,38.45,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,789,B,0.534
COOP181,133606,37309,PILLSBURY,TOAST FRENCH MINI CINN RUSH IW,72/2.64OZ,37.92,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,785,B,0.527
COOP181,133740,09976,RICHS,ICING VANILLA HEAT 'N ICE,12LB,32.62,0.00,DAIRY,07/01/23,06/30/24,09-22-23-FN,806,C,0.251
COOP181,133743,44717,O TASTY,VEGETABLE & CHKN POTSTICKER,6/2.5LB,62.01,0.00,ASIAN,07/01/23,06/30/24,09-22-23-FN,767,D,0.517
COOP181,133753,SF03011,SPIRITED FOODS,BREADED POLLOCK SQUARES,10LB,49.86,0.00,FISH,07/01/23,06/30/24,09-22-23-FN,867,C,1.133
COOP181,133790,35469-3,ROSATI,CRYBABY SOUR APPLE,90/4.4OZ,34.80,0.00,FRZN SNCKS,07/01/23,06/30/24,09-22-23-FN,823,D,0.387
COOP181,133798,19321,TONY ROBERTS,BAGEL SLICED WHITE BULK WW WG,72/3OZ,27.78,0.00,BAGELS,07/01/23,06/30/24,09-22-23-FN,901,B,0.386
COOP181,133800,FFC22260WG,FIESTA SANTA FE,BURRITO BEAN CHEESE WG IW,48/5.85OZ,52.20,0.00,BURRITOS,07/01/23,06/30/24,09-22-23-FN,581,C,1.088
COOP181,133801,33504,TASTY BRANDS,BREADED ONION RINGS WG,6/5LB,95.78,0.00,FRZN VEG,07/01/23,06/30/24,09-22-23-FN,893,B,0.538
COOP181,133824,FFC60575WG,FIESTA SANTA FE,BURRITO BEAN CHEESE WRAP WG IW,60/6.1OZ,68.97,0.00,BURRITOS,07/01/23,06/30/24,09-22-23-FN,582,B,1.15
COOP181,133841,1450,LUPITAS,CONCHA VARIETY PACK WG IW,84/2.25OZ,51.23,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,703,A,0.61
COOP181,133842,1451,LUPITAS,CONCHA WHITE WG IW,84/2.25OZ,51.23,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,700,B,0.61
COOP181,133843,1452,LUPITAS,CONCHA PINK WG IW,84/2.25OZ,51.23,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,702,B,0.61
COOP181,133845,1454,LUPITAS,CONCHA CHOCOLATE WG IW,84/2.25OZ,51.23,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,701,W,0.61
COOP181,133867,990018,INTEGRATED,BF SAUSAGE BRKFST SAND IW,100/3.10OZ,113.91,0.00,SANDWICHES,07/01/23,06/30/24,09-22-23-FN,641,D,1.139
COOP181,133875,126,DAVES,BROWNIE CUP WG IW,90/1.5OZ,39.16,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,514,C,0.435
COOP181,133879,TACONADA2B12B,BELL TASTY,NADA TACO TURKEY BULK,60/4.5OZ,58.06,0.00,HISPANIC,07/01/23,06/30/24,09-22-23-FN,446,C,0.968
COOP181,133889,WG1001,DAVES,BAR TWIN WG IW,72/2.65OZ,40.74,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,519,B,0.566
COOP181,133905,6293,BRIDGFORD,2 HONEY BISCUIT WW,105/1.25OZ,21.09,0.00,FRZN BREAD,09/30/23,06/30/24,,,B,0.201
COOP181,133925,923,BAKE CRAFTERS,3 BISCUIT BUTTERMLK SLICED WG,144/2.0OZ,46.88,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,428,C,0.326
COOP181,133926,SB-770,SHANNONS,HONEY BREAD STICK WW,120/1.7OZ,41.36,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,832,W,0.345
COOP181,133929,SB-210,SHANNONS,ROLL DINNER ALOHA WG,192/1OZ,47.06,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,835,B,0.245
COOP181,133933,95121,FOSTER FARMS,WRAPS MAPLE TURKEY PANCAKE WG,56/2.85OZ,34.86,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,585,B,0.623
COOP181,133935,CN34072WG,DON LEE FARMS,CORN DOG JUMBO CHICKEN WG,72/4OZ,68.24,0.00,CORN DOG,07/01/23,06/30/24,09-22-23-FN,548,B,0.948
COOP181,133947,PIZZANADA2B12B,BELL TASTY,NADA PIZZA TURKEY BULK,60/4.5OZ,60.52,0.00,POCKETS,07/01/23,06/30/24,09-22-23-FN,447,C,1.009
COOP181,133948,TACONADA2B12W,BELL TASTY,NADA TACO TURKEY IW,60/4.5OZ,60.52,0.00,HISPANIC,07/01/23,06/30/24,09-22-23-FN,453,B,1.009
COOP181,133949,348,GOLD STAR FOODS,5 51% WWW HINGE HOAGIE ROLLS,120/2OZ,25.62,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,614,C,0.214
COOP181,133974,2172,GOLD STAR FOODS,3.551% HAMBRGR BNS 144 WWW,144/1.58OZ,30.49,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,620,C,0.212
COOP181,133985,8-52724-00301-6,YANGS,NOODLE CHOW MEIN 51% WG,14LB,37.96,0.00,ASIAN,07/01/23,06/30/24,09-22-23-FN,927,B,0.475
100145,134004,CHIMINADAQCW,BELL TASTY,NADA CHIMI BEAN CHEESE WG IW,60/4.5OZ,46.50,0.00,HISPANIC,09/25/23,06/30/24,,,D,0.775
COOP181,134026,566630/5814,BRAKEBUSH,CHIX FIERY FINGERS STRIPS,10LB,55.97,0.00,PROC CHIX,07/01/23,06/30/24,09-22-23-FN,459,W,1.191
COOP181,134042,WG380,DAVES,MUFFIN BLUEBERRY MINI WG IW,90/1.9OZ,38.85,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,511,B,0.432
COOP181,134066,04606,CH BELT,DICED CARROTS,20LB,24.10,0.00,FRZN VEG,10/05/23,06/30/24,,,W,2.191
COOP181,134074,2015,COUNTRY PURE FOODS,SIDEKICK STRAWBERRY MANGO,84/4.4OZ,35.59,0.00,FRZN SNCKS,07/01/23,06/30/24,09-22-23-FN,503,C,0.424
COOP181,134083,19322,TONY ROBERTS,BAGEL WHITE WHEAT WG IW,72/3OZ,32.96,0.00,BAGELS,07/01/23,06/30/24,09-22-23-FN,903,B,0.458
COOP181,134084,30174,TONY ROBERTS,BAGEL WHITE WHEAT BULK WG,54/4OZ,25.55,0.00,BAGELS,07/01/23,06/30/24,09-22-23-FN,898,D,0.355
COOP181,134103,10071179180586,SIMPLOT,BROCCOLI CUTS,12/2LB,32.95,0.00,FRZN VEG,07/01/23,06/30/24,09-22-23-FN,839,C,0.17
COOP181,134147,38453,TONY ROBERTS,BAGEL SLICED CINN RAISIN WG IW,72/2.24OZ,32.35,0.00,BAGELS,07/01/23,06/30/24,09-22-23-FN,900,W,0.449
COOP181,134152,MF7201W,ECHO LAKE,PANCAKES WW,144/1.2OZ,18.44,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,555,C,0.128
COOP181,134181,WG381,DAVES,MUFFIN BANANA MINI WG IW,90/1.9OZ,38.85,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,513,B,0.432
COOP181,134205,TWB5160,SKY BLUE FOODS,51% WW OATMEAL BRKFST BUN IW,60/2.6OZ,38.95,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,855,B,0.649
COOP181,134229,70740-60254,CALAVO GROWERS,WESTERN STYLE GUACAMOLE,12/1LB,63.73,0.00,SAUCES,07/01/23,06/30/24,09-22-23-FN,478,C,0.354
COOP181,134231,802,BAKE CRAFTERS,3.5 MUFFIN ENGLISH SLICED WG,144/2.2OZ,44.36,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,434,C,0.308
COOP181,134237,WG845,DAVES,MUFFIN DOUBLE CHOCOLATE WG IW,60/3.15OZ,41.82,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,523,A,0.697
COOP181,134267,32264,PILLSBURY,WAFFLES MINI BLUEBERRY BASH IW,72/2.47OZ,37.77,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,784,B,0.525
COOP181,134268,32265,PILLSBURY,WAFFLES MINI MAPLE MADNESS IW,72/2.47OZ,37.77,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,788,B,0.525
COOP181,134269,32271,PILLSBURY,BISCUIT RICH EZ SPLT BAKED WG,120/2OZ,38.76,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,783,C,0.323
COOP181,134282,85604,KOCH FOODS,PATTIES FC BRD CHICKEN WG,51/3.15OZ,41.00,0.00,PROC CHIX,07/01/23,06/30/24,09-22-23-FN,676,C,0
COOP181,134284,38000-92313,EGGO,WAFFLE MINI CINN WG IW,72/2.64OZ,35.07,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,557,B,0.487
COOP181,134285,38000-92315,EGGO,WAFFLES MINI MAPLE WG IW,72/2.65OZ,35.07,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,560,A,0.487
COOP181,134287,38000-92562,EGGO,PANCAKE MINI MAPLE WG IW,72/3.03OZ,35.98,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,558,A,0.5
COOP181,134300,DD400,MICHAEL B'S BESTWAY,CHIX DOUBLE DOG IW,60/4OZ,67.71,0.00,HOT DOGS,07/01/23,06/30/24,09-22-23-FN,732,B,1.129
COOP181,134323,WGCOWMFN-9#,FAT CAT BAKERY,BREAD MUFFIN BATTER COWGIRL,2/9LB,51.88,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,567,C,0.721
COOP181,134325,5810/572963,BRAKEBUSH,CHICKEN BREAST STRIP GF FC,2/5LB,49.01,0.00,PROC CHIX,07/01/23,06/30/24,09-22-23-FN,456,W,1.021
COOP181,134340,CN582253,DON LEE FARMS,PATTY BBQ PORK RIB SHAPED,216/2.25OZ,137.77,0.00,PROC PORK,07/01/23,06/30/24,09-22-23-FN,542,D,0.638
COOP181,134372,CN34072WWG,DON LEE FARMS,CORN DOG JUMBO CHICKEN WG IW,72/4OZ,69.38,0.00,CORN DOG,07/01/23,06/30/24,09-22-23-FN,547,A,0.964
COOP181,134377,CN252603,DON LEE FARMS,PATTY CHARBROILED MESQ BEEF,192/2.60OZ,140.26,0.00,PROC BEEF,07/01/23,06/30/24,09-22-23-FN,546,D,0.731
COOP181,134399,WG382,DAVES,MUFFIN MINI APPLE CIN WG IW,90/1.9OZ,38.85,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,506,C,0.432
COOP181,134408,1500,LUPITAS,LOAF HONEY LEMON WG IW,96/2.25OZ,58.36,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,699,B,0.608
COOP181,134413,GS9104,INTEGRATED,BANANA BREAD WG IW,54/4OZ,63.21,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,640,D,1.171
COOP181,134419,PD446,MICHAEL B'S BESTWAY,PRETZEL DOG CHICKEN IW,60/4.46OZ,84.48,0.00,HOT DOGS,07/01/23,06/30/24,09-22-23-FN,729,B,1.408
COOP181,134420,10071179180395,SIMPLOT,GREEN BEANS CUT,12/2LB,44.68,0.00,FRZN VEG,07/01/23,06/30/24,09-22-23-FN,851,D,0.321
COOP181,134434,63307-9,SMART FOODS,NUGGETS BAT CHICKEN WG,213/.75OZ,58.53,0.00,PROC CHIX,07/01/23,06/30/24,09-22-23-FN,864,D,1.104
COOP181,134438,63309-9,SMART FOODS,NUGGETS TURKEY SHAPED CHIX WG,213/.75OZ,58.53,0.00,PROC CHIX,07/01/23,06/30/24,09-22-23-FN,863,D,1.104
COOP181,134447,69074,MINH,100% VEG FRIED RICE WG,6/5# BAGS,61.55,0.00,RICE,07/01/23,06/30/24,09-22-23-FN,736,B,0.733
COOP181,134457,342,GOLD STAR FOODS,51% ARTISAN ROLL WG IW,144/2OZ,52.10,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,624,B,0.362
COOP181,134464,PDB446,MICHAEL B'S BESTWAY,PRETZEL DOG BEEF IW,60/4.46OZ,103.15,0.00,HOT DOGS,07/01/23,06/30/24,09-22-23-FN,727,C,1.719
COOP181,134514,WGCELC140-1SW,FAT CAT BAKERY,COOKIES CELEBRATION WG IW,140/1.3OZ,50.87,0.00,COOKIES,07/01/23,06/30/24,09-22-23-FN,576,C,0.363
COOP181,134526,WMBLU248,SKY BLUE FOODS,66% MUFFIN BLUEBERRY WW IW,48/3.2OZ,29.67,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,856,W,0.618
COOP181,134528,WMCHCH248,SKY BLUE FOODS,66% MUFFIN CHOCOLATE CHIP WW,48/3.2OZ,29.67,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,857,D,0.618
COOP181,134543,607,ALBIES FOODS,SANDWICH SOY BUTTER & JELLY WG,72/2.4OZ,66.97,0.00,SANDWICHES,07/01/23,06/30/24,09-22-23-FN,409,B,0.93
COOP181,134547,KBTR13W,BELL TASTY,NADA ITALIAN WG 2X1 IW,60/4OZ,62.15,0.00,ITALIAN,07/01/23,06/30/24,09-22-23-FN,448,D,1.036
COOP181,134558,1605,BAKE CRAFTERS,TOAST TEXAS GARLIC RF BULK WG,120/1.31OZ,41.72,0.00,FRZN BREAD,07/01/23,06/30/24,09-22-23-FN,432,B,0.348
COOP181,134564,82220,BUENA VISTA,BROWNIE WG IW,96/2OZ,46.82,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,476,B,0.488
